,avg,f_t,dummy
l1,0.6312,0.6312,0.5
l2,0.67,0.67,0.5
l3,0.6832,0.6832,0.5
l4,0.7084,0.7084,0.5
l5,0.7408,0.7408,0.5
l6,0.7568,0.7568,0.5
l7,0.7464,0.7464,0.5
